Repeating words      |  Times repeated  |  Rows
A                    |  16              |  50 51 56 57 65 136 143 146 147 164 165 170 184 240 267 
AD                   |  2               |  214 215 
According            |  2               |  47 235 
Alpaca               |  2               |  116 197 
Alpacas              |  2               |  114 116 
Although             |  2               |  52 186 
America              |  19              |  45 58 60 100 182 224 228 240 243 279 
American             |  5               |  14 45 58 60 
An                   |  2               |  141 176 
Andean               |  3               |  14 136 228 
Andina               |  2               |  123 124 
Angora               |  3               |  200 207 
Another              |  2               |  214 215 
Art                  |  2               |  216 217 
Artiodactyla         |  6               |  28 54 273 279 
At                   |  2               |  65 
Avaroa               |  2               |  123 124 
Aymara               |  2               |  47 
Bactrian             |  2               |  285 
Bolivia              |  3               |  112 123 124 
By                   |  5               |  45 240 257 273 
Camel                |  4               |  5 203 264 
Camelidae            |  5               |  30 54 250 282 285 
Camelids             |  2               |  285 
Camels               |  2               |  267 
Camelus              |  7               |  41 52 83 87 267 291 
Carl                 |  2               |  52 228 
Cashmere             |  2               |  201 
Chancay              |  2               |  216 217 
Chest                |  2               |  85 86 
Chilln               |  2               |  216 217 
Colorada             |  2               |  123 124 
Crias                |  4               |  135 136 
Cusco                |  2               |  50 51 
Dam                  |  2               |  123 124 
Downs                |  2               |  180 181 
Drainage             |  2               |  216 217 
Early                |  2               |  214 215 
Eduardo              |  2               |  123 124 
Empire               |  5               |  223 224 228 230 
Europe               |  2               |  231 232 
European             |  3               |  43 112 237 
Eventoed             |  2               |  6 270 
Family               |  2               |  29 284 
Fauna                |  2               |  123 124 
Female               |  2               |  125 
Fiber                |  2               |  188 194 
For                  |  3               |  141 224 245 
Genus                |  2               |  31 266 
Great                |  4               |  45 60 240 
Guard                |  2               |  178 179 
Handspun             |  2               |  191 192 
However              |  2               |  166 240 
Huacaya              |  2               |  52 208 
If                   |  2               |  143 172 
In                   |  10              |  47 83 98 120 139 224 237 240 
Inca                 |  8               |  223 224 226 228 
Interchange          |  2               |  45 60 
Intermediate         |  4               |  214 215 216 217 
Knee                 |  2               |  85 86 
Laguna               |  2               |  123 124 
Lama                 |  10              |  14 32 36 52 54 104 106 
Late                 |  2               |  216 217 
Linnaeus             |  5               |  37 41 52 104 105 
Llama                |  10              |  3 9 16 47 168 180 181 205 209 245 
Llamas               |  17              |  43 58 65 118 125 130 136 166 168 170 189 240 243 245 
Lombards             |  2               |  214 215 
Many                 |  2               |  100 184 
Moche                |  4               |  214 215 221 
Molina               |  2               |  107 235 
Mountain             |  2               |  164 165 
Museum               |  4               |  214 215 216 217 
Nacional             |  2               |  123 124 
Names                |  2               |  85 86 
National             |  2               |  164 165 
North                |  10              |  45 58 60 182 279 
Old                  |  2               |  60 
One                  |  2               |  170 233 
Order                |  2               |  27 272 
Park                 |  2               |  164 165 
Patagonia            |  2               |  191 192 
Period               |  4               |  214 215 216 217 
Peru                 |  4               |  50 51 112 221 
Pleistocene          |  2               |  58 60 
